1,1234 5678 9012 3456,12/25,123,1
2,2345 6789 0123 4567,10/24,456,2
3,3456 7890 1234 5678,09/26,789,3
4,4567 8901 2345 6789,11/23,321,4
5,5678 9012 3456 7890,08/25,654,5
6,6789 0123 4567 8901,07/27,987,6
7,7890 1234 5678 9012,06/24,234,7
8,8901 2345 6789 0123,05/26,567,8
9,9012 3456 7890 1234,04/25,890,9
10,0123 4567 8901 2345,03/26,123,10
11,1234 5678 9012 3456,02/25,456,11
12,2345 6789 0123 4567,01/24,789,12
13,3456 7890 1234 5678,12/26,321,13
14,4567 8901 2345 6789,11/23,654,14
15,5678 9012 3456 7890,10/25,987,15
